Alger;36.7538;3.0588
Oran;35.6971;-0.6308
Constantine;36.3650;6.6147
Annaba;36.9000;7.7667
Blida;36.4700;2.8300
Batna;35.5559;6.1741
Sétif;36.1900;5.4100
Tlemcen;34.8783;-1.3150
Sidi Bel Abbès;35.1900;-0.6300
Biskra;34.8500;5.7333
Djelfa;34.6667;3.2500
Béjaïa;36.7500;5.0833
Skikda;36.8667;6.9000
Tébessa;35.4000;8.1167
M'Sila;35.7000;4.5500
Ouargla;31.9500;5.3333
Tiaret;35.3667;1.3167
Chlef;36.1667;1.3333
Ghardaïa;32.4833;3.6667
Bordj Bou Arréridj;36.0667;4.7667
Béchar;31.6167;-2.2167
Mascara;35.4000;0.1333
Médéa;36.2667;2.7500
Mostaganem;35.9333;0.0833
Oum El Bouaghi;35.8667;7.1167
Tizi Ouzou;36.7167;4.0500
Jijel;36.8167;5.7667
Relizane;35.7333;0.5500
Laghouat;33.8000;2.8667
Saïda;34.8333;0.1500
Guelma;36.4622;7.4261
Souk Ahras;36.2833;7.9500
El Oued;33.3667;6.8667
Bouira;36.3667;3.9000
Mila;36.4500;6.2667
Aïn Defla;36.2667;2.2333
Adrar;27.8667;-0.2833
Tamanrasset;22.7833;5.5167
Tindouf;27.6667;-8.1333
Aïn Temouchent;35.3000;-1.1333
Ghardaia;32.4833;3.6667
Tissemsilt;35.6000;1.8167
Khenchela;35.4333;7.1333
Boumerdès;36.7667;3.4667
El Tarf;36.7667;8.3167
Tipaza;36.5833;2.4333
Naâma;33.2667;-0.3167
Aïn Séfra;32.7500;-0.5833
El Bayadh;33.6833;1.0167
Illizi;26.5000;8.4833
Djanet;24.5500;9.4833
In Salah;27.2000;2.4833
Reggane;26.7167;0.1667
Ghardaïa;32.4833;3.6667
Béni Abbès;30.0833;-2.1667
Timimoun;29.2667;0.2333
Touggourt;33.1000;6.0667
Hassi Messaoud;31.6833;6.0667
Maghnia;34.8500;-1.7333
Cherchell;36.6000;2.1833
Tenès;36.5167;1.3000
Bou Saâda;35.2000;4.1833
Tolga;34.7167;5.3833
Aflou;34.1167;2.1000
Berrouaghia;36.1333;2.9167
Sour El Ghozlane;36.1500;3.7000
Akbou;36.4500;4.5333
El Eulma;36.1500;5.6833
Aïn Beïda;35.8000;7.3833
Sedrata;36.1333;7.5333
Drean;36.6833;7.7500
Tamanrasset;22.7833;5.5167
Beni Saf;35.3000;-1.3833
Arzew;35.8500;-0.3167
Ghazaouet;35.1000;-1.8500
Hammam Bou Hadjar;35.3833;-0.9667
Sig;35.5333;-0.1833
Tigrhennif;35.3167;0.3333
Zighoud Youcef;36.5333;6.7167
El Khroub;36.2667;6.7000
Héliopolis;36.5000;7.4500
Boukhadra;35.7833;8.0167
Ouenza;35.9500;8.1167
Bordj Menaïel;36.7333;3.7167
Lakhdaria;36.5667;3.5833
Larbaâ Nath Irathen;36.6333;4.2000
Azazga;36.7333;4.3667
Azeffoun;36.9000;4.4167
El Affroun;36.4667;2.6333
Hadjout;36.5167;2.4167
Kolea;36.6333;2.7000
Gouraya;36.5667;1.9000
Tidjelabine;36.7167;3.5000
Khemis Miliana;36.2667;2.2167
Boumedfaâ;36.3667;2.4667
El Attaf;36.2167;1.6667
Oued Rhiou;35.9667;0.9167
Mazouna;36.1167;0.8667
Zemmora;35.7167;0.7667
Ammi Moussa;35.8667;1.1333
