Team,Sport,Age,x
30. Februar,Sailing,33.5,-1966.5
A North American Team,Polo,41.333333333333336,-1958.6666666666667
Acipactli,Sailing,47.333333333333336,-1952.6666666666667
Acturus,Sailing,27.0,-1973.0
Afghanistan,Athletics,22.458333333333332,-1977.5416666666667
Afghanistan,Boxing,21.6,-1978.4
Afghanistan,Football,,
Afghanistan,Hockey,24.25,-1975.75
Afghanistan,Judo,24.333333333333332,-1975.6666666666667
Afghanistan,Shooting,24.0,-1976.0
Afghanistan,Swimming,22.0,-1978.0
Afghanistan,Taekwondo,23.4,-1976.6
Afghanistan,Wrestling,24.4375,-1975.5625
Akatonbo,Sailing,40.333333333333336,-1959.6666666666667
Alain IV,Sailing,48.0,-1952.0
Albania,Artistic Gymnastics,31.0,-1969.0
Albania,Athletics,26.285714285714285,-1973.7142857142858
Albania,Cycling,22.0,-1978.0
Albania,Judo,24.333333333333332,-1975.6666666666667
Albania,Shooting,37.0,-1963.0
Albania,Swimming,19.615384615384617,-1980.3846153846155
Albania,Weightlifting,23.263157894736842,-1976.7368421052631
Albania,Wrestling,25.5,-1974.5
Alcaid,Sailing,30.0,-1970.0
Alcyon-6,Sailing,,
Alcyon-7,Sailing,,
Aldebaran,Sailing,32.5,-1967.5
Aldebaran II,Sailing,37.5,-1962.5
Aletta,Sailing,32.333333333333336,-1967.6666666666667
Algeria,Athletics,25.70138888888889,-1974.298611111111
Algeria,Badminton,30.0,-1970.0
Algeria,Boxing,24.142857142857142,-1975.857142857143
Algeria,Canoe Sprint,22.0,-1978.0
Algeria,Cycling,23.333333333333332,-1976.6666666666667
Algeria,Cycling Road,30.0,-1970.0
Algeria,Fencing,24.44,-1975.56
Algeria,Football,23.09375,-1976.90625
Algeria,Gymnastics,23.041666666666668,-1976.9583333333333
Algeria,Handball,25.0,-1975.0
Algeria,Judo,25.166666666666668,-1974.8333333333333
Algeria,Karate,29.0,-1971.0
Algeria,Marathon Swimming,32.0,-1968.0
Algeria,Rowing,26.333333333333332,-1973.6666666666667
Algeria,Sailing,25.4,-1974.6
Algeria,Shooting,29.0,-1971.0
Algeria,Swimming,23.095238095238095,-1976.904761904762
Algeria,Table Tennis,22.90909090909091,-1977.090909090909
Algeria,Taekwondo,26.0,-1974.0
Algeria,Tennis,18.5,-1981.5
Algeria,Trampolining,23.0,-1977.0
Algeria,Volleyball,24.0,-1976.0
Algeria,Weightlifting,25.526315789473685,-1974.4736842105262
Algeria,Wrestling,24.153846153846153,-1975.8461538461538
Ali-Baba II,Sailing,38.285714285714285,-1961.7142857142858
Ali-Baba IV,Sailing,38.0,-1962.0
Ali-Baba IX,Sailing,45.5,-1954.5
Ali-Baba VI,Sailing,41.0,-1959.0
Allegro,Sailing,34.0,-1966.0
Almaz,Sailing,25.5,-1974.5
Aloha II,Sailing,30.25,-1969.75
Amateur Athletic Association,Athletics,24.6,-1975.4
American Samoa,Archery,16.0,-1984.0
American Samoa,Athletics,27.333333333333332,-1972.6666666666667
American Samoa,Boxing,26.0,-1974.0
American Samoa,Judo,26.666666666666668,-1973.3333333333333
American Samoa,Sailing,34.5,-1965.5
American Samoa,Swimming,23.166666666666668,-1976.8333333333333
American Samoa,Weightlifting,27.75,-1972.25
American Samoa,Wrestling,22.5,-1977.5
Amolgavar,Sailing,27.333333333333332,-1972.6666666666667
Amstel Amsterdam,Rowing,22.0,-1978.0
Amulet-3,Sailing,32.5,-1967.5
Amulet-7,Sailing,32.5,-1967.5
Ancora,Sailing,33.333333333333336,-1966.6666666666667
Andorinha,Sailing,32.0,-1968.0
Andorra,Athletics,29.571428571428573,-1970.4285714285713
Andorra,Boxing,20.0,-1980.0
Andorra,Canoe Slalom,21.0,-1979.0
Andorra,Canoeing,18.0,-1982.0
Andorra,Cycling,21.8,-1978.2
Andorra,Judo,26.333333333333332,-1973.6666666666667
Andorra,Sailing,22.0,-1978.0
Andorra,Shooting,37.25,-1962.75
Andorra,Swimming,19.6,-1980.4
Andromeda,Sailing,25.0,-1975.0
Angelita,Sailing,29.555555555555557,-1970.4444444444443
Angerburg,Sailing,19.0,-1981.0
Angola,Athletics,24.866666666666667,-1975.1333333333334
Angola,Basketball,26.985915492957748,-1973.0140845070423
Angola,Beach Volleyball,40.5,-1959.5
Angola,Boxing,21.857142857142858,-1978.142857142857
Angola,Canoeing,29.333333333333332,-1970.6666666666667
Angola,Handball,26.26530612244898,-1973.734693877551
Angola,Judo,24.4,-1975.6
Angola,Rowing,26.5,-1973.5
Angola,Sailing,27.5,-1972.5
Angola,Shooting,36.333333333333336,-1963.6666666666667
Angola,Swimming,17.4,-1982.6
Anitra,Sailing,30.5,-1969.5
Antares,Sailing,28.5,-1971.5
Antigua and Barbuda,Athletics,23.040816326530614,-1976.9591836734694
Antigua and Barbuda,Boxing,24.333333333333332,-1975.6666666666667
Antigua and Barbuda,Canoeing,31.0,-1969.0
Antigua and Barbuda,Cycling,22.375,-1977.625
Antigua and Barbuda,Sailing,27.8,-1972.2
Antigua and Barbuda,Swimming,17.25,-1982.75
Antwerpia V,Sailing,38.666666666666664,-1961.3333333333333
Apache,Sailing,42.6,-1957.4
Aphrodite,Sailing,31.333333333333332,-1968.6666666666667
Arcturus,Sailing,32.0,-1968.0
Ardilla,Sailing,39.0,-1961.0
Aretusa,Sailing,35.666666666666664,-1964.3333333333333
Argentina,Archery,31.5,-1968.5
Argentina,Art Competitions,43.0,-1957.0
Argentina,Artistic Gymnastics,17.0,-1983.0
Argentina,Athletics,25.714893617021275,-1974.2851063829787
Argentina,Basketball,27.073684210526316,-1972.9263157894736
Argentina,Beach Volleyball,30.071428571428573,-1969.9285714285713
Argentina,Boxing,21.68888888888889,-1978.3111111111111
Argentina,Canoe Slalom,26.0,-1974.0
Argentina,Canoe Sprint,26.5,-1973.5
Argentina,Canoeing,24.857142857142858,-1975.142857142857
Argentina,Cycling,25.655844155844157,-1974.344155844156
Argentina,Cycling BMX Racing,23.0,-1977.0
Argentina,Cycling Mountain Bike,27.0,-1973.0
Argentina,Cycling Road,30.0,-1970.0
Argentina,Diving,24.555555555555557,-1975.4444444444443
Argentina,Equestrian,49.0,-1951.0
Argentina,Equestrianism,33.404411764705884,-1966.5955882352941
Argentina,Fencing,30.115555555555556,-1969.8844444444444
Argentina,Figure Skating,,
Argentina,Football,22.51219512195122,-1977.4878048780488
Argentina,Golf,28.333333333333332,-1971.6666666666667
Argentina,Gymnastics,21.235294117647058,-1978.764705882353
Argentina,Handball,28.55,-1971.45
Argentina,Hockey,25.843450479233226,-1974.1565495207667
Argentina,Judo,25.223880597014926,-1974.7761194029852
Argentina,Marathon Swimming,36.0,-1964.0
Argentina,Modern Pentathlon,27.4375,-1972.5625
Argentina,Polo,33.77777777777778,-1966.2222222222222
Argentina,Rowing,24.727272727272727,-1975.2727272727273
Argentina,Rugby Sevens,25.0,-1975.0
Argentina,Sailing,31.097560975609756,-1968.9024390243903
Argentina,Shooting,35.70175438596491,-1964.298245614035
Argentina,Surfing,33.0,-1967.0
Argentina,Swimming,20.731404958677686,-1979.2685950413222
Argentina,Synchronized Swimming,24.0,-1976.0
Argentina,Table Tennis,32.0,-1968.0
Argentina,Taekwondo,25.875,-1974.125
Argentina,Tennis,25.304878048780488,-1974.6951219512196
Argentina,Triathlon,28.857142857142858,-1971.142857142857
Argentina,Volleyball,25.847457627118644,-1974.1525423728813
Argentina,Water Polo,26.636363636363637,-1973.3636363636363
Argentina,Weightlifting,26.818181818181817,-1973.1818181818182
Argentina,Wrestling,26.10169491525424,-1973.8983050847457
Argentina-1,Beach Volleyball,33.5,-1966.5
Argentina-1,Tennis,28.142857142857142,-1971.857142857143
Argentina-2,Beach Volleyball,28.0,-1972.0
Argentina-2,Tennis,25.428571428571427,-1974.5714285714287
Argeste,Sailing,38.666666666666664,-1961.3333333333333
Argo II,Sailing,44.333333333333336,-1955.6666666666667
Argonaut Rowing Club,Rowing,22.666666666666668,-1977.3333333333333
Argus,Sailing,36.0,-1964.0
Ariel,Sailing,29.0,-1971.0
Ariette-10,Sailing,62.0,-1938.0
Ariette-8,Sailing,62.0,-1938.0
Armenia,Artistic Gymnastics,29.0,-1971.0
Armenia,Athletics,24.473684210526315,-1975.5263157894738
Armenia,Boxing,25.61904761904762,-1974.3809523809523
Armenia,Canoeing,29.0,-1971.0
Armenia,Cycling,21.0,-1979.0
Armenia,Diving,19.0,-1981.0
Armenia,Gymnastics,22.1,-1977.9
Armenia,Judo,26.555555555555557,-1973.4444444444443
Armenia,Shooting,34.5,-1965.5
Armenia,Swimming,21.363636363636363,-1978.6363636363637
Armenia,Taekwondo,26.0,-1974.0
Armenia,Tennis,27.0,-1973.0
Armenia,Weightlifting,24.18421052631579,-1975.8157894736842
Armenia,Wrestling,25.18867924528302,-1974.811320754717
Aruba,Athletics,26.555555555555557,-1973.4444444444443
Aruba,Boxing,29.0,-1971.0
Aruba,Cycling,26.0,-1974.0
Aruba,Fencing,49.0,-1951.0
Aruba,Judo,26.4,-1973.6
Aruba,Sailing,24.25,-1975.75
Aruba,Shooting,39.0,-1961.0
Aruba,Swimming,19.833333333333332,-1980.1666666666667
Aruba,Synchronized Swimming,17.5,-1982.5
Aruba,Taekwondo,27.0,-1973.0
Aruba,Weightlifting,25.333333333333332,-1974.6666666666667
Aschenbrodel,Sailing,44.0,-1956.0
Astrid III,Sailing,45.666666666666664,-1954.3333333333333
Atalanta Boat Club-1,Rowing,25.0,-1975.0
Atalanta Boat Club-2,Rowing,25.0,-1975.0
Athens-2,Football,,
Atlanta,Sailing,39.22222222222222,-1960.7777777777778
Augsburg,Sailing,29.0,-1971.0
Ausonia,Sailing,40.666666666666664,-1959.3333333333333
Australasia,Athletics,24.40909090909091,-1975.590909090909
Australasia,Boxing,24.0,-1976.0
Australasia,Diving,24.0,-1976.0
Australasia,Rowing,21.0,-1979.0
Australasia,Rugby,24.266666666666666,-1975.7333333333333
Australasia,Shooting,,
Australasia,Swimming,23.451612903225808,-1976.5483870967741
Australasia,Tennis,28.0,-1972.0
Australia,Archery,26.71951219512195,-1973.280487804878
Australia,Art Competitions,62.0,-1938.0
Australia,Artistic Gymnastics,22.583333333333332,-1977.4166666666667
Australia,Artistic Swimming,22.1,-1977.9
Australia,Athletics,24.971537001897534,-1975.0284629981024
Australia,Badminton,25.94,-1974.06
Australia,Baseball,26.11764705882353,-1973.8823529411766
Australia,Baseball/Softball,30.733333333333334,-1969.2666666666667
Australia,Basketball,26.454225352112676,-1973.5457746478874
Australia,Beach Volleyball,29.3,-1970.7
Australia,Boxing,22.328125,-1977.671875
Australia,Canoe Slalom,27.75,-1972.25
Australia,Canoe Sprint,27.416666666666668,-1972.5833333333333
Australia,Canoeing,27.134453781512605,-1972.8655462184875
Australia,Cycling,24.485645933014354,-1975.5143540669856
Australia,Cycling BMX Freestyle,25.0,-1975.0
Australia,Cycling BMX Racing,27.0,-1973.0
Australia,Cycling Mountain Bike,32.0,-1968.0
Australia,Cycling Road,29.272727272727273,-1970.7272727272727
Australia,Cycling Track,26.03125,-1973.96875
Australia,Diving,22.664473684210527,-1977.3355263157894
Australia,Equestrian,48.111111111111114,-1951.888888888889
Australia,Equestrianism,35.93421052631579,-1964.0657894736842
Australia,Fencing,27.942857142857143,-1972.057142857143
Australia,Football,23.416666666666668,-1976.5833333333333
Australia,Golf,29.125,-1970.875
Australia,Gymnastics,20.25413223140496,-1979.745867768595
Australia,Handball,27.8,-1972.2
Australia,Hockey,26.060679611650485,-1973.9393203883494
Australia,Judo,25.744444444444444,-1974.2555555555555
Australia,Karate,33.0,-1967.0
Australia,Marathon Swimming,24.5,-1975.5
Australia,Modern Pentathlon,26.18867924528302,-1973.811320754717
Australia,Rhythmic Gymnastics,20.46153846153846,-1979.5384615384614
Australia,Rowing,25.98168498168498,-1974.018315018315
Australia,Rugby Sevens,24.49019607843137,-1975.5098039215686
Australia,Sailing,30.204301075268816,-1969.7956989247311
Australia,Shooting,33.09665427509294,-1966.903345724907
Australia,Skateboarding,21.2,-1978.8
Australia,Softball,28.05,-1971.95
Australia,Sport Climbing,24.0,-1976.0
Australia,Surfing,31.5,-1968.5
Australia,Swimming,20.581359816653933,-1979.418640183346
Australia,Synchronized Swimming,23.228070175438596,-1976.7719298245613
Australia,Table Tennis,27.23611111111111,-1972.763888888889
Australia,Taekwondo,26.115384615384617,-1973.8846153846155
Australia,Tennis,26.370786516853933,-1973.629213483146
Australia,Trampoline Gymnastics,22.0,-1978.0
Australia,Trampolining,26.0,-1974.0
Australia,Triathlon,26.975609756097562,-1973.0243902439024
Australia,Volleyball,22.854166666666668,-1977.1458333333333
Australia,Water Polo,25.93065693430657,-1974.0693430656934
Australia,Weightlifting,25.76829268292683,-1974.2317073170732
Australia,Wrestling,26.48936170212766,-1973.5106382978724
Australia-1,Badminton,25.333333333333332,-1974.6666666666667
Australia-1,Beach Volleyball,28.071428571428573,-1971.9285714285713
Australia-1,Table Tennis,22.0,-1978.0
Australia-1,Tennis,27.6,-1972.4
Australia-2,Badminton,26.666666666666668,-1973.3333333333333
Australia-2,Beach Volleyball,28.714285714285715,-1971.2857142857142
Australia-2,Table Tennis,26.833333333333332,-1973.1666666666667
Australia-2,Tennis,27.4,-1972.6
Australia-3,Beach Volleyball,31.5,-1968.5
Australia/Great Britain,Tennis,22.5,-1977.5
Austria,Archery,37.0,-1963.0
Austria,Art Competitions,48.58695652173913,-1951.4130434782608
Austria,Artistic Gymnastics,25.0,-1975.0
Austria,Artistic Swimming,23.0,-1977.0
Austria,Athletics,25.631067961165048,-1974.368932038835
Austria,Badminton,24.6,-1975.4
Austria,Beach Volleyball,26.875,-1973.125
Austria,Boxing,23.216216216216218,-1976.7837837837837
Austria,Canoe Slalom,24.0,-1976.0
