Point Départ,KNN,TWO_OPT,THREE_OPT,Amélioration (%)
Bobigny,63.99,58.12,58.09,9.21
Noisy-le-Grand,63.87,60.51,58.83,7.89
Saint-Nazaire,63.42,60.65,59.77,5.77
Annecy,61.89,59.44,58.75,5.07
Sarcelles,61.89,59.44,58.75,5.07
Grenoble,61.33,59.21,58.49,4.64
Mulhouse,61.28,59.18,58.5,4.55
Antibes,61.28,59.19,58.51,4.53
Bayonne,61.21,59.22,58.45,4.5
Saint-Maur-des-Fossés,61.21,59.22,58.45,4.5
Nîmes,61.21,59.22,58.45,4.5
Chambéry,61.18,59.12,58.43,4.49
Metz,61.18,59.12,58.43,4.49
Strasbourg,61.18,59.12,58.43,4.49
Toulouse,61.18,59.12,58.43,4.49
Lyon,61.18,59.12,58.43,4.49
Aubervilliers,61.18,59.12,58.43,4.49
Cergy,61.18,59.12,58.43,4.49
Créteil,61.32,59.28,58.6,4.43
Paris,61.2,59.19,58.49,4.41
Pantin,61.2,59.19,58.49,4.41
Cagnes-sur-Mer,61.2,59.19,58.49,4.41
Bellevue,61.2,59.19,58.49,4.41
Courbevoic,61.2,59.19,58.49,4.41
Tours,61.2,59.19,58.49,4.41
Boulogne-Billancourt,61.2,59.19,58.49,4.41
Saint-Étienne,61.31,59.3,58.61,4.4
Sevran,61.31,59.3,58.61,4.4
Vitry-sur-Seine,61.31,59.3,58.61,4.4
Saint-Quentin,61.19,59.26,58.56,4.31
Pessac,61.19,59.26,58.56,4.31
Aulnay-sous-Bois,61.19,59.26,58.56,4.31
Valence,61.19,59.26,58.56,4.31
Drancy,61.19,59.26,58.56,4.31
Perpignan,61.21,59.3,58.6,4.26
Toulon,61.21,59.3,58.6,4.26
Antony,61.21,59.3,58.6,4.26
Rueil-Malmaison,61.21,59.3,58.6,4.26
Orléans,61.21,59.3,58.6,4.26
Vannes,61.21,59.3,58.6,4.26
Reims,61.12,59.24,58.55,4.21
Clermont-Ferrand,61.12,59.24,58.55,4.21
Bondy,61.12,59.24,58.55,4.21
Angers,61.12,59.24,58.55,4.21
Corbeil-Essonnes,61.12,59.24,58.55,4.21
Meaux,61.12,59.24,58.55,4.21
Colombes,61.12,59.24,58.55,4.21
Dunkerque,61.12,59.24,58.55,4.21
La Rochelle,61.12,59.24,58.55,4.21
Versailles,61.12,59.24,58.55,4.21
Tourcoing,61.12,59.24,58.55,4.21
Roubaix,61.12,59.24,58.55,4.21
Nantes,61.12,59.24,58.55,4.21
Lille,61.12,59.24,58.55,4.21
Rennes,61.16,59.4,58.6,4.18
Villejuif,61.16,59.4,58.6,4.18
Vénissieux,61.16,59.4,58.6,4.18
Clamart,61.16,59.4,58.6,4.18
Vaulx-en-Velin,61.16,59.4,58.6,4.18
La Seyne-sur-Mer,61.16,59.4,58.6,4.18
Champigny-sur-Marne,61.16,59.4,58.6,4.18
Le Havre,61.16,59.4,58.6,4.18
Dijon,61.16,59.4,58.6,4.18
Rouen,61.16,59.4,58.6,4.18
Ivry-sur-Seine,61.26,59.05,58.99,3.7
Saint-Denis,61.21,59.09,59.02,3.58
Cannes,61.33,59.22,59.13,3.58
Troyes,61.21,59.09,59.02,3.58
Neuilly-sur-Seine,61.21,59.09,59.02,3.58
Lorient,61.21,59.09,59.02,3.58
Clichy,61.33,59.22,59.13,3.58
Montpellier,61.24,59.18,59.08,3.52
Aix-en-Provence,61.24,59.18,59.08,3.52
Caen,61.24,59.18,59.08,3.52
Beauvais,61.23,59.19,59.09,3.5
Villeurbanne,61.23,59.19,59.09,3.5
Calais,61.4,59.33,59.27,3.46
Chelles,61.22,59.22,59.13,3.41
Bordeaux,61.17,59.24,59.14,3.32
Le Blanc-Mesnil,61.17,59.24,59.14,3.32
Argenteuil,61.17,59.24,59.14,3.32
Brest,61.17,59.24,59.14,3.32
Besançon,61.17,59.24,59.14,3.32
Le Mans,61.17,59.24,59.14,3.32
Maisons-Alfort,61.17,59.24,59.14,3.32
Épinay-sur-Seine,61.17,59.24,59.14,3.32
Pau,61.17,59.24,59.14,3.32
Issy-les-Moulineaux,61.17,59.24,59.14,3.32
Nanterre,61.17,59.24,59.14,3.32
Marseille,60.79,59.22,59.17,2.66
Amiens,60.79,59.22,59.17,2.66
Nice,60.79,59.22,59.17,2.66
Montreuil,60.79,59.22,59.17,2.66
Limoges,60.79,59.22,59.17,2.66
Nancy,60.79,59.22,59.17,2.66
Poitiers,60.79,59.22,59.17,2.66
Levallois-Perret,60.79,59.22,59.17,2.66
Mérignac,60.79,59.22,59.17,2.66
Évry,60.79,59.22,59.17,2.66
Saint-Ouen,60.79,59.22,59.17,2.66
