Point Départ,KNN,TWO_OPT,Amélioration (%)
Coulaines,119.37,92.91,22.16
Talange,118.51,92.7,21.78
Vandœuvre-lès-Nancy,118.48,92.67,21.78
Déville-lès-Rouen,119.8,93.74,21.75
Arras,118.07,92.54,21.63
Billère,119.62,93.8,21.58
Neuville-lès-Dieppe,119.64,94.02,21.41
Saint-Julien-en-Genevois,118.12,92.9,21.35
Le Mesnil-Esnard,119.76,94.23,21.32
Sarcelles,118.37,93.16,21.3
Châlons-en-Champagne,118.79,93.59,21.22
Yerres,118.52,93.43,21.17
Valenciennes,117.74,92.84,21.15
Vincennes,117.74,92.84,21.15
Saint-Aubin-lès-Elbeuf,117.74,92.84,21.15
La Courneuve,117.74,92.84,21.15
Lens,120.26,94.84,21.13
Saint-Brieuc,119.09,93.96,21.1
Fontaine-lès-Dijon,117.89,93.04,21.08
La Mulatière,117.89,93.04,21.08
Essey-lès-Nancy,117.79,93.0,21.05
Saint-Étienne,117.8,93.0,21.05
Chalon-sur-Saône,118.25,93.52,20.91
Chennevières-sur-Marne,118.25,93.52,20.91
Illzach,117.79,93.18,20.9
Écully,117.79,93.18,20.9
Firminy,117.59,93.01,20.9
Vaucresson,117.59,93.01,20.9
Montigny-le-Bretonneux,117.59,93.01,20.9
Montmorency,117.79,93.18,20.9
Éleu-dit-Leauwette,117.59,93.01,20.9
Sainte-Foy-lès-Lyon,117.79,93.18,20.9
Hérouville-Saint-Clair,117.77,93.24,20.82
Nogent-sur-Marne,119.26,94.43,20.82
Champigny-sur-Marne,117.77,93.24,20.82
Pau,117.77,93.24,20.82
Bordeaux,117.72,93.26,20.78
Suresnes,117.72,93.26,20.78
Cappelle-la-Grande,118.46,94.08,20.58
Hellemmes-Lille,117.8,93.56,20.57
Gradignan,118.85,94.45,20.53
Marcq-en-Baroeul,117.8,93.62,20.53
Montbéliard,117.8,93.62,20.53
Neuilly-sur-Seine,118.85,94.45,20.53
Montévrain,118.3,94.01,20.53
Le Relecq-Kerhuon,117.85,93.71,20.49
Sainte-Foy-la-Grande,117.85,93.71,20.49
Villefranche-sur-Saône,117.85,93.71,20.49
Lisieux,117.77,93.66,20.47
Franconville,117.77,93.66,20.47
Ambilly,117.74,93.66,20.45
Clermont,117.7,93.64,20.44
Beaumont,117.7,93.64,20.44
Cenon,116.97,93.06,20.44
Talant,116.97,93.06,20.44
Trappes,117.7,93.64,20.44
Le Port-Marly,118.68,94.43,20.44
Argenteuil,117.36,93.4,20.41
Barby,117.36,93.4,20.41
Le Havre,117.66,93.66,20.4
Saint-Laurent-du-Var,118.61,94.41,20.4
Nîmes,118.61,94.41,20.4
Montaigu,117.66,93.66,20.4
Magny-le-Hongre,118.39,94.25,20.39
Alès,118.39,94.25,20.39
Maxéville,118.22,94.22,20.3
Moulins,118.22,94.22,20.3
Saint-Denis,117.8,93.93,20.26
Ronchin,117.8,93.97,20.23
Guingamp,117.93,94.11,20.2
Clichy,117.93,94.11,20.2
Bobigny,118.1,94.3,20.16
Bourg-en-Bresse,118.26,94.43,20.15
Jouy-le-Moutier,117.75,94.03,20.15
Saint-Fons,118.26,94.43,20.15
Meudon,117.75,94.03,20.15
Villiers-sur-Orge,118.28,94.46,20.14
Bully-les-Mines,117.61,93.94,20.12
Bayonne,117.61,93.94,20.12
Kingersheim,117.61,93.94,20.12
Marseille,117.93,94.28,20.06
Mandres-les-Roses,117.64,94.11,20.0
Aix-les-Bains,117.64,94.11,20.0
Pierre-Bénite,119.11,95.31,19.98
Épinay-sur-Orge,117.55,94.05,19.98
Lourches,117.55,94.05,19.98
Cambrai,117.55,94.05,19.98
Fontenay-sous-Bois,117.55,94.05,19.98
Lys-lès-Lannoy,117.55,94.05,19.98
Liévin,117.35,93.96,19.94
Neuilly-sur-Marne,117.35,93.96,19.94
Perpignan,117.35,93.96,19.94
Rive-de-Gier,117.34,93.96,19.93
Villenave-d’Ornon,117.34,93.96,19.93
Montigny-lès-Cormeilles,117.34,93.96,19.93
Rennes,117.34,93.96,19.93
Pontoise,117.34,93.96,19.93
Vaulx-en-Velin,117.34,93.96,19.93
Avon,118.08,94.57,19.92
Villeparisis,118.25,94.7,19.91
Annemasse,116.54,93.34,19.91
Saint-Mammès,116.54,93.34,19.91
Tours,116.54,93.34,19.91
Le Ban-Saint-Martin,116.54,93.34,19.91
Bougival,116.54,93.34,19.91
Chilly-Mazarin,116.54,93.34,19.91
Pantin,116.54,93.34,19.91
Massy,116.5,93.31,19.9
Cergy,116.5,93.31,19.9
Auchel,116.5,93.31,19.9
Fleury-les-Aubrais,116.5,93.31,19.9
Fontenay-le-Fleury,116.5,93.31,19.9
Sochaux,116.81,93.59,19.88
Loos,118.16,94.67,19.88
Sainte-Adresse,116.81,93.59,19.88
Rouen,118.16,94.67,19.88
Beauvais,118.56,95.08,19.81
Les Sables-d’Olonne,118.56,95.08,19.81
Cap-d’Ail,118.62,95.16,19.78
Montreuil,118.25,94.89,19.75
Sotteville-lès-Rouen,118.25,94.89,19.75
Châtenay-Malabry,117.34,94.18,19.74
Francheville,117.34,94.18,19.74
Dugny,117.76,94.53,19.73
Villeneuve-Saint-Georges,118.48,95.11,19.73
Ermont,118.48,95.11,19.73
Évry,117.66,94.46,19.72
Limoges,117.66,94.46,19.72
Nilvange,117.66,94.46,19.72
Menucourt,116.23,93.34,19.7
Juvisy-sur-Orge,116.23,93.34,19.7
Achères,116.23,93.34,19.7
Pont-à-Vendin,116.23,93.34,19.7
Saint-Jean-de-la-Ruelle,116.23,93.34,19.7
Neauphle-le-Château,116.23,93.34,19.7
Créteil,116.23,93.34,19.7
La Frette-sur-Seine,116.23,93.34,19.7
Hagondange,116.23,93.34,19.7
Metz,118.06,94.87,19.64
Saint-Leu-la-Forêt,118.06,94.87,19.64
Limeil-Brévannes,118.23,95.02,19.63
Saint-Nazaire,118.23,95.02,19.63
Mouvaux,117.89,94.82,19.57
Beaulieu-sur-Mer,116.98,94.11,19.55
Béthune,116.94,94.1,19.54
Montrouge,116.94,94.1,19.54
Strasbourg,116.94,94.1,19.54
Outreau,116.94,94.1,19.54
Échirolles,116.94,94.1,19.54
Tomblaine,117.77,94.84,19.47
Le Pecq,117.77,94.84,19.47
Wingles,117.77,94.84,19.47
Pessac,117.61,94.73,19.45
Caudebec-lès-Elbeuf,117.61,94.73,19.45
Gaillard,117.61,94.73,19.45
Courtry,117.61,94.73,19.45
Creil,117.61,94.73,19.45
Choisy-le-Roi,117.77,94.88,19.43
Jacou,117.4,94.59,19.43
Chamalières,117.4,94.59,19.43
Montgeron,119.1,95.95,19.43
Fougères,117.4,94.59,19.43
Colombes,117.4,94.59,19.43
Villejuif,117.4,94.59,19.43
Grenay,117.83,94.95,19.42
Boulogne-Billancourt,117.79,94.94,19.41
Douai,118.21,95.26,19.41
Lille,117.56,94.74,19.41
La Valette-du-Var,114.95,92.65,19.4
Bergues,114.95,92.65,19.4
Eysines,118.2,95.27,19.4
Mont-Saint-Aignan,114.95,92.65,19.4
Paris,114.95,92.65,19.4
Maubeuge,114.95,92.65,19.4
Esbly,114.95,92.65,19.4
Les Lilas,117.82,94.97,19.39
Thorigny-sur-Marne,117.82,94.97,19.39
Fontenay-aux-Roses,117.82,94.97,19.39
Le Pont-de-Claix,117.77,94.99,19.34
Brest,117.77,94.99,19.34
Bassens,116.83,94.28,19.3
Saint-Genis-Laval,116.84,94.3,19.29
Sucy-en-Brie,116.84,94.3,19.29
Toulouse,116.84,94.3,19.29
Longwy,116.84,94.3,19.29
Sceaux,116.84,94.3,19.29
Courbevoic,116.83,94.3,19.28
Les Mureaux,116.83,94.3,19.28
Bondoufle,117.79,95.08,19.27
Crosne,117.79,95.08,19.27
Le Mée-sur-Seine,117.79,95.08,19.27
Darnétal,118.91,96.1,19.18
La Montagne,118.48,95.77,19.17
Gagny,118.49,95.8,19.15
Malakoff,114.88,92.94,19.1
Voisins-le-Bretonneux,114.88,92.94,19.1
Aniche,117.81,95.31,19.1
Oignies,117.81,95.31,19.1
Saint-Priest-en-Jarez,114.88,92.94,19.1
Le Mans,114.88,92.94,19.1
Bayeux,114.88,92.94,19.1
Lormont,114.88,92.94,19.1
Villeneuve-la-Garenne,114.88,92.94,19.1
Vannes,116.5,94.28,19.07
Viroflay,116.5,94.28,19.07
Saint-Genis-Pouilly,117.83,95.36,19.07
Coudekerque-Branche,116.5,94.28,19.07
Puteaux,116.5,94.28,19.07
Plaisir,116.5,94.28,19.07
Saint-Sébastien-sur-Loire,116.5,94.28,19.07
Villeurbanne,117.78,95.34,19.05
Boucau,117.14,94.87,19.01
Chaville,117.14,94.87,19.01
Schiltigheim,117.14,94.87,19.01
Le Pontet,117.14,94.87,19.01
Ville-d’Avray,117.31,95.03,18.99
Bruay-sur-l’Escaut,117.31,95.03,18.99
Houilles,117.31,95.03,18.99
L’Haÿ-les-Roses,117.31,95.03,18.99
Torcy,114.94,93.2,18.92
Rosny-sous-Bois,114.94,93.2,18.92
Bois-d’Arcy,114.94,93.2,18.92
Bischheim,114.94,93.2,18.92
Meylan,114.94,93.2,18.92
Dieppe,114.94,93.2,18.92
Élancourt,114.94,93.2,18.92
Menton,116.81,94.74,18.89
Hendaye,116.81,94.74,18.89
Saint-Cloud,116.81,94.74,18.89
Maurepas,116.81,94.74,18.89
Audincourt,116.81,94.74,18.89
Cannes,116.81,94.74,18.89
Anglet,117.49,95.33,18.86
Neuville-Saint-Rémy,117.49,95.33,18.86
Beaumont-sur-Oise,117.49,95.33,18.86
Avranches,117.49,95.33,18.86
Lingolsheim,117.49,95.33,18.86
Longueau,117.49,95.33,18.86
Beauchamp,114.89,93.27,18.82
Dunkerque,114.89,93.27,18.82
Huningue,114.89,93.27,18.82
Le Petit-Quevilly,114.89,93.27,18.82
Amiens,114.89,93.27,18.82
Les Noës-près-Troyes,114.89,93.27,18.82
Halluin,114.89,93.27,18.82
Vaires-sur-Marne,114.89,93.27,18.82
Le Mesnil-le-Roi,114.89,93.27,18.82
Le Perreux-Sur-Marne,116.83,94.91,18.76
Goussainville,116.83,94.91,18.76
Ablon-sur-Seine,116.83,94.91,18.76
Tassin-la-Demi-Lune,116.82,94.91,18.75
Luisant,116.82,94.91,18.75
Pérols,116.82,94.91,18.75
La Madeleine,116.82,94.91,18.75
