Point Départ,KNN,TWO_OPT,Amélioration (%)
Vénissieux,71.47,57.95,18.92
Lyon,71.4,58.3,18.35
Saint-Étienne,71.03,58.3,17.93
Villeurbanne,71.47,59.9,16.19
Vaulx-en-Velin,71.47,59.95,16.12
Annecy,69.57,58.58,15.79
Pessac,68.96,58.32,15.43
Chambéry,69.77,59.19,15.17
Pau,69.45,59.45,14.41
Bayonne,70.16,60.1,14.34
La Rochelle,68.56,58.97,13.99
Vannes,69.64,60.1,13.69
Besançon,68.21,58.98,13.54
Metz,68.14,59.37,12.87
Saint-Nazaire,66.52,58.09,12.67
Le Havre,66.39,58.21,12.32
Brest,68.48,60.1,12.24
Lorient,68.48,60.1,12.24
Valence,71.68,63.32,11.67
Dunkerque,65.63,58.12,11.45
Nantes,67.67,59.96,11.39
Mulhouse,66.7,59.35,11.01
Strasbourg,65.44,58.43,10.71
Nancy,65.44,58.43,10.71
Mérignac,68.95,61.61,10.64
Antony,64.43,57.62,10.57
Boulogne-Billancourt,64.44,57.64,10.55
Bordeaux,68.87,61.61,10.54
Tours,64.02,57.27,10.54
Le Mans,66.01,59.5,9.87
Rouen,64.58,58.21,9.87
Courbevoic,63.91,57.62,9.84
Cannes,64.47,58.32,9.53
Antibes,64.31,58.32,9.31
Roubaix,63.99,58.12,9.18
Troyes,64.8,58.87,9.16
Angers,66.01,60.04,9.04
Rennes,65.44,59.55,9.0
Calais,65.95,60.04,8.96
Toulon,63.99,58.32,8.86
Nîmes,63.99,58.32,8.86
Nice,63.99,58.32,8.86
Saint-Quentin,63.71,58.13,8.76
Limoges,68.24,62.3,8.71
Clermont-Ferrand,64.54,59.23,8.22
Évry,64.36,59.11,8.16
Cergy,64.82,59.68,7.94
Marseille,64.3,59.26,7.84
Caen,64.97,59.9,7.8
Poitiers,65.05,60.06,7.67
Lille,64.12,59.38,7.39
Tourcoing,64.02,59.38,7.25
Épinay-sur-Seine,64.01,59.5,7.06
Cagnes-sur-Mer,64.51,60.1,6.83
Neuilly-sur-Seine,64.1,59.9,6.55
Noisy-le-Grand,64.0,59.91,6.39
Paris,63.89,59.87,6.29
Perpignan,64.27,60.27,6.23
Montpellier,64.27,60.27,6.23
Toulouse,64.27,60.27,6.23
La Seyne-sur-Mer,64.08,60.1,6.21
Pantin,63.82,59.86,6.21
Le Blanc-Mesnil,63.78,59.85,6.18
Nanterre,64.52,60.54,6.16
Aix-en-Provence,64.0,60.16,6.01
Clamart,64.16,60.55,5.64
Dijon,64.11,60.56,5.53
Levallois-Perret,64.03,60.54,5.44
Issy-les-Moulineaux,64.16,60.73,5.36
Argenteuil,63.94,60.54,5.32
Rueil-Malmaison,64.0,60.61,5.3
Colombes,63.92,60.55,5.27
Corbeil-Essonnes,64.26,60.89,5.25
Orléans,62.43,59.15,5.25
Bellevue,63.87,60.51,5.25
Reims,63.04,59.92,4.95
Grenoble,63.42,60.65,4.37
Amiens,61.89,59.44,3.95
Beauvais,61.64,59.39,3.65
Créteil,61.26,59.05,3.6
Bobigny,61.33,59.21,3.47
Villejuif,61.21,59.09,3.46
Champigny-sur-Marne,61.33,59.22,3.43
Bondy,61.28,59.18,3.43
Aulnay-sous-Bois,61.28,59.19,3.42
Vitry-sur-Seine,61.18,59.12,3.38
Saint-Maur-des-Fossés,61.24,59.18,3.36
Chelles,61.4,59.33,3.36
Ivry-sur-Seine,61.23,59.19,3.34
Sevran,61.32,59.28,3.32
Drancy,61.31,59.3,3.29
Saint-Ouen,61.2,59.19,3.28
Maisons-Alfort,61.22,59.22,3.27
Sarcelles,61.21,59.22,3.25
Meaux,61.17,59.24,3.16
Clichy,61.19,59.26,3.16
Aubervilliers,61.21,59.3,3.12
Montreuil,61.12,59.24,3.09
Saint-Denis,61.16,59.4,2.88
Versailles,60.79,59.22,2.58
